00052.ppm;485;242;514;271;24
00053.ppm;905;208;938;241;2
00053.ppm;907;185;937;215;15
00054.ppm;548;184;593;228;7
00055.ppm;1111;91;1224;205;6
00055.ppm;887;191;927;231;19
00055.ppm;890;225;925;260;15
00056.ppm;550;93;611;154;22
00057.ppm;338;246;368;275;13
00058.ppm;34;124;80;170;0
00058.ppm;38;168;80;210;24
00059.ppm;805;163;839;197;13
00060.ppm;599;284;647;332;7
00060.ppm;1088;270;1140;322;7
00061.ppm;1061;40;1180;159;16
00062.ppm;605;71;705;170;14
00063.ppm;128;111;171;154;0
00063.ppm;620;38;691;109;1
00063.ppm;129;150;169;190;24
00064.ppm;499;101;545;148;3
00065.ppm;543;107;625;189;7
00066.ppm;669;290;733;353;4
00066.ppm;667;227;731;291;14
00066.ppm;71;357;111;396;14
00067.ppm;644;159;693;207;0
00067.ppm;648;203;694;249;24
00068.ppm;651;191;705;244;7
00069.ppm;1083;144;1158;219;22
00070.ppm;558;179;608;229;1
00071.ppm;876;313;901;339;13
00072.ppm;1140;105;1239;203;18
00073.ppm;1048;75;1155;183;13
00073.ppm;358;13;429;84;12
00073.ppm;543;158;578;193;11
00074.ppm;513;99;588;173;7
00075.ppm;355;14;441;100;13
00076.ppm;549;201;588;239;20
00077.ppm;283;218;315;250;14
00078.ppm;954;207;1009;262;15
00078.ppm;958;255;1006;303;19
00079.ppm;530;263;567;299;0
00079.ppm;531;291;564;325;24
00080.ppm;384;198;455;269;13
00080.ppm;523;256;591;324;26
00081.ppm;827;247;856;277;17
00082.ppm;314;242;363;291;13
00082.ppm;407;284;448;324;26
00083.ppm;160;212;217;268;0
00083.ppm;215;210;271;266;24
00084.ppm;1175;150;1268;243;16
00085.ppm;407;159;509;260;13
00085.ppm;645;248;748;350;26
00086.ppm;827;319;857;349;9
00087.ppm;379;225;445;291;14
00087.ppm;329;273;374;317;26
00088.ppm;645;123;704;181;20
00088.ppm;640;56;714;129;14
00089.ppm;987;195;1043;251;23
00090.ppm;907;154;971;218;26
00091.ppm;593;249;624;280;7
00092.ppm;533;135;598;200;3
00092.ppm;534;201;593;261;13
00093.ppm;1220;179;1259;218;13
00094.ppm;486;11;560;85;11
00094.ppm;486;144;558;216;13
00095.ppm;554;224;594;263;6
00096.ppm;527;147;561;181;3
00097.ppm;1147;74;1187;115;0
00097.ppm;1153;107;1194;148;24
00098.ppm;527;58;627;158;14
00099.ppm;1071;147;1165;241;23
00099.ppm;1079;225;1175;322;21
00100.ppm;401;99;454;151;27
00100.ppm;500;103;561;164;27
00101.ppm;4;32;124;151;24
00102.ppm;1223;271;1273;322;13
00103.ppm;831;291;865;325;19
00104.ppm;871;5;944;78;3
00104.ppm;884;78;958;152;12
00105.ppm;393;298;438;343;6
00106.ppm;1172;184;1217;229;22
00107.ppm;444;85;513;155;11
00108.ppm;1125;88;1230;193;17
00109.ppm;449;137;527;215;3
00109.ppm;446;55;526;135;13
00110.ppm;1016;108;1144;236;10
00111.ppm;331;306;367;342;6
00112.ppm;604;119;670;185;6
00113.ppm;796;26;889;118;4
00114.ppm;337;184;390;237;24
00114.ppm;288;187;341;240;0
00115.ppm;405;30;457;82;12
00115.ppm;467;29;520;83;11
00115.ppm;602;216;639;253;8
00116.ppm;470;171;529;230;14
00117.ppm;507;116;565;173;14
00118.ppm;520;310;594;384;7
00119.ppm;1069;213;1151;294;22
00120.ppm;469;220;533;283;6
00121.ppm;1173;209;1239;275;0
00121.ppm;523;246;563;286;0
00121.ppm;1175;271;1233;328;24
00122.ppm;1089;224;1160;295;13
00122.ppm;571;199;620;249;3
00122.ppm;575;246;615;287;23
00123.ppm;354;93;428;167;0
00123.ppm;360;171;433;244;24
00123.ppm;797;173;840;216;14
00124.ppm;366;9;444;87;11
00125.ppm;572;3;646;77;3
00125.ppm;567;75;640;148;13
00125.ppm;1137;241;1211;315;13
00126.ppm;325;5;457;137;13
00127.ppm;1031;166;1104;238;25
00128.ppm;435;230;465;260;6
00128.ppm;897;0;985;88;14
00129.ppm;794;300;819;325;19
00130.ppm;1011;150;1084;223;17
00131.ppm;13;177;44;208;0
00131.ppm;13;205;42;235;24
00132.ppm;550;230;583;263;0
00132.ppm;1075;215;1119;259;14
00132.ppm;583;236;610;263;24
00133.ppm;525;134;589;198;22
00134.ppm;1000;130;1116;246;16
00134.ppm;993;23;1114;144;9
00135.ppm;918;159;958;199;10
00135.ppm;919;212;949;241;13
00135.ppm;685;178;712;205;13
00135.ppm;685;151;713;179;3
00136.ppm;981;213;1020;251;14
00137.ppm;509;99;559;148;3
00137.ppm;511;147;557;193;13
00138.ppm;439;225;469;255;22
00139.ppm;219;3;319;103;0
00139.ppm;213;99;316;202;24
00140.ppm;869;77;954;161;26
00140.ppm;864;3;949;87;14
00140.ppm;453;189;498;234;13
00141.ppm;1018;276;1059;317;2
00142.ppm;256;221;287;251;0
00142.ppm;631;195;665;229;13
00142.ppm;633;225;662;254;4
00143.ppm;877;195;925;243;16
00144.ppm;1099;140;1153;194;13
00145.ppm;1096;90;1196;190;9
00146.ppm;670;19;807;155;23
00147.ppm;490;5;605;120;14
00148.ppm;528;179;587;238;7
00149.ppm;364;18;445;99;3
00149.ppm;364;109;445;190;13
00150.ppm;325;94;385;154;14
00151.ppm;987;128;1049;190;14
00152.ppm;560;30;638;108;13
00153.ppm;853;220;903;270;24
00153.ppm;851;168;904;220;0
00154.ppm;463;16;529;83;3
00155.ppm;336;206;408;278;5
00155.ppm;334;278;405;349;13
00155.ppm;231;171;291;230;23
00155.ppm;233;218;289;274;21
00156.ppm;325;222;368;264;6
00156.ppm;277;208;309;240;7
00157.ppm;495;295;523;322;0
00157.ppm;1069;220;1121;272;14
00157.ppm;518;291;550;322;24
00158.ppm;719;62;854;197;14
00159.ppm;189;134;238;183;0
00160.ppm;384;239;431;286;14
00161.ppm;967;151;1021;205;19
00161.ppm;973;202;1015;245;15
00162.ppm;442;260;497;315;0
00162.ppm;487;254;541;308;24
00163.ppm;809;81;874;146;14
00163.ppm;500;228;541;269;13
00163.ppm;811;143;871;202;26
00164.ppm;529;201;559;232;3
00165.ppm;465;148;520;202;26
00166.ppm;827;232;855;260;16
00167.ppm;1009;209;1070;270;13
00168.ppm;364;49;431;117;11
00169.ppm;1196;267;1247;318;2
00169.ppm;247;225;271;250;9
00170.ppm;930;8;1051;128;1
00171.ppm;1024;139;1094;208;13
00172.ppm;568;265;630;326;25
00173.ppm;616;305;647;335;9
00174.ppm;391;164;434;206;14
00175.ppm;609;149;657;196;1
00176.ppm;933;155;995;217;13
00176.ppm;465;129;537;201;3
00177.ppm;609;325;627;342;0
00177.ppm;608;338;627;357;24
00178.ppm;894;233;920;259;9
00179.ppm;991;231;1045;285;16
00180.ppm;1106;93;1194;181;15
00180.ppm;1108;169;1191;252;19
00181.ppm;1010;85;1087;163;19
00181.ppm;1002;13;1083;93;15
00182.ppm;558;139;585;167;8
00183.ppm;1031;110;1098;177;19
00183.ppm;1033;173;1091;231;15
00184.ppm;518;104;591;177;14
00185.ppm;645;244;685;285;3
00185.ppm;643;285;685;327;13
00186.ppm;778;62;867;150;1
00187.ppm;679;201;739;260;14
00188.ppm;645;227;679;261;3
00188.ppm;644;259;679;295;13
00189.ppm;948;131;1037;219;26
00190.ppm;812;255;837;279;13
00190.ppm;811;224;837;250;10
00190.ppm;618;215;647;245;12
00190.ppm;617;184;647;215;3
00191.ppm;438;188;498;248;6
00192.ppm;176;15;303;140;7
00193.ppm;400;131;467;197;13
00193.ppm;393;195;463;264;4
00194.ppm;1025;143;1069;187;1
00195.ppm;973;198;1011;237;2
00195.ppm;973;171;1009;207;15
00196.ppm;171;121;291;240;13
00197.ppm;882;271;930;319;16
00197.ppm;877;225;931;279;9
00198.ppm;615;3;691;78;14
00198.ppm;510;115;564;169;14
00199.ppm;160;181;195;216;24
00199.ppm;509;128;554;172;1
00199.ppm;159;152;193;185;0
00200.ppm;1107;181;1188;262;16
00201.ppm;545;57;603;114;11
00202.ppm;527;283;545;301;0
00202.ppm;527;298;545;316;24
00203.ppm;606;270;650;314;13
00203.ppm;615;230;655;270;3
00204.ppm;876;165;937;225;10
00205.ppm;485;87;544;147;3
00205.ppm;485;144;542;201;13
00206.ppm;922;257;973;307;19
00207.ppm;70;54;136;120;0
00207.ppm;73;118;141;187;24
00208.ppm;1094;326;1174;406;20
00209.ppm;205;251;237;283;6
00209.ppm;203;277;233;307;18
00210.ppm;858;196;908;246;6
00210.ppm;811;214;840;243;19
00210.ppm;814;236;840;262;15
00211.ppm;98;395;127;425;0
00211.ppm;101;419;133;450;24
00212.ppm;879;269;905;295;0
00212.ppm;896;268;920;292;24
00213.ppm;531;316;557;342;0
00213.ppm;533;336;556;359;24
00214.ppm;959;191;1020;251;23
00214.ppm;965;240;1025;301;21
00215.ppm;589;291;715;416;24
00215.ppm;601;163;723;283;0
00216.ppm;895;250;925;280;16
00216.ppm;824;263;846;285;8
00217.ppm;195;15;360;178;13
00218.ppm;723;254;764;295;0
00218.ppm;755;250;794;289;24
00219.ppm;1094;212;1144;262;0
00219.ppm;313;209;347;244;14
00220.ppm;227;169;316;257;13
00221.ppm;27;274;84;331;0
00221.ppm;449;246;523;318;24
00222.ppm;131;52;224;144;0
00222.ppm;134;148;228;241;24
00222.ppm;749;181;799;231;14
00223.ppm;393;271;431;308;6
00223.ppm;391;302;427;338;18
00224.ppm;770;69;851;150;7
00225.ppm;1060;194;1104;238;13
00226.ppm;325;289;417;380;13
00227.ppm;787;101;848;161;0
00228.ppm;931;253;999;321;9
00229.ppm;485;197;528;239;6
00230.ppm;478;7;549;78;3
00231.ppm;1178;125;1241;188;13
00231.ppm;948;188;999;239;17
00232.ppm;482;31;523;71;12
00232.ppm;539;27;580;68;11
00232.ppm;641;143;667;169;8
00233.ppm;828;131;913;215;26
00234.ppm;337;86;391;140;3
00234.ppm;1191;61;1267;138;13
00234.ppm;915;127;963;175;1
00234.ppm;1185;140;1263;217;26
00235.ppm;697;185;779;266;6
00236.ppm;777;66;870;158;22
00237.ppm;988;156;1062;230;25
00238.ppm;371;159;425;213;2
00239.ppm;201;64;292;155;3
00240.ppm;816;319;838;341;7
00241.ppm;675;155;706;186;3
00241.ppm;675;186;707;219;13
00241.ppm;897;252;927;283;13
00242.ppm;1181;120;1247;185;1
00243.ppm;314;227;353;265;0
00243.ppm;311;264;349;302;24
00243.ppm;968;162;1031;225;14
00243.ppm;965;224;1031;289;3
00243.ppm;478;43;558;122;27
00243.ppm;630;46;709;124;27
00243.ppm;777;47;859;128;27
00244.ppm;368;188;405;224;14
00245.ppm;905;227;945;267;16
00246.ppm;1090;56;1177;142;14
00247.ppm;838;161;888;211;0
00247.ppm;409;259;430;279;14
00247.ppm;833;214;883;263;24
00248.ppm;167;153;204;190;0
00248.ppm;167;187;201;222;24
00249.ppm;1149;248;1199;297;1
00250.ppm;580;159;617;195;14
00251.ppm;500;225;534;259;6
00252.ppm;529;38;628;136;13
00252.ppm;527;136;619;226;23
00253.ppm;1147;21;1253;127;13
00253.ppm;590;195;642;247;13
00253.ppm;587;102;640;155;11
00254.ppm;441;101;515;175;13
00254.ppm;441;173;507;238;23
00255.ppm;877;215;913;252;10
00255.ppm;879;263;909;292;13
00255.ppm;646;199;672;225;3
00255.ppm;229;163;265;199;0
00255.ppm;226;199;267;241;24
00256.ppm;1167;119;1261;213;7
00257.ppm;527;193;574;240;22
00258.ppm;648;168;729;249;13
00259.ppm;524;190;555;221;3
00260.ppm;466;3;530;67;3
00260.ppm;867;146;913;192;10
00260.ppm;555;197;587;229;11
00260.ppm;465;67;531;133;12
00260.ppm;867;209;909;250;13
00261.ppm;1102;60;1167;125;9
00262.ppm;1147;31;1245;129;19
00262.ppm;1156;115;1243;202;15
00263.ppm;978;81;1127;229;7
00264.ppm;495;229;529;263;14
00265.ppm;633;105;721;193;22
00266.ppm;493;10;594;111;6
00267.ppm;564;128;621;185;14
00268.ppm;555;285;580;309;0
00268.ppm;554;307;581;334;24
00269.ppm;835;17;931;112;1
00270.ppm;448;238;579;368;13
00271.ppm;678;124;751;197;1
00272.ppm;1078;27;1179;127;16
00273.ppm;419;112;477;169;14
00274.ppm;24;194;81;251;0
00274.ppm;83;195;138;250;24
00275.ppm;785;206;833;253;13
00276.ppm;1090;0;1185;95;4
00276.ppm;1084;195;1165;276;13
00276.ppm;811;291;853;333;10
00276.ppm;493;161;537;205;3
00276.ppm;493;200;533;240;12
00277.ppm;471;384;516;429;7
00278.ppm;561;118;635;191;14
00279.ppm;608;244;662;297;6
00280.ppm;471;105;511;145;14
00281.ppm;1202;224;1247;268;0
00282.ppm;140;86;215;161;3
00282.ppm;145;5;226;86;13
00283.ppm;418;239;458;279;0
00283.ppm;453;241;489;277;24
00284.ppm;463;71;533;142;13
00284.ppm;464;141;531;208;4
00285.ppm;496;177;529;210;0
00285.ppm;499;204;534;239;24
00286.ppm;1025;168;1062;205;13
00287.ppm;307;274;339;306;13
00288.ppm;319;246;353;279;14
00289.ppm;524;150;583;208;22
00290.ppm;803;160;849;206;9
00291.ppm;1171;194;1231;255;9
00292.ppm;1097;22;1171;97;1
00293.ppm;276;141;317;182;0
00293.ppm;277;182;319;224;24
00294.ppm;927;271;958;303;9
00295.ppm;643;24;731;112;14
00296.ppm;365;95;438;169;11
00296.ppm;776;258;819;301;10
00297.ppm;639;37;757;154;5
00297.ppm;636;155;759;277;13
00297.ppm;340;142;407;209;23
00298.ppm;560;202;597;238;0
00298.ppm;1230;139;1274;183;14
00298.ppm;593;202;628;238;24
00299.ppm;485;232;524;270;22
00300.ppm;900;161;947;209;19
00300.ppm;891;115;942;166;15
00301.ppm;4;175;55;226;24
00301.ppm;915;244;957;285;13
00301.ppm;910;152;960;202;4
00301.ppm;4;124;58;178;0
00302.ppm;754;40;849;135;14
00302.ppm;754;130;841;217;20
00303.ppm;687;7;858;177;6
00304.ppm;493;107;665;278;26
00305.ppm;425;188;477;240;14
00306.ppm;865;165;900;200;23
00306.ppm;867;123;899;155;13
00307.ppm;536;21;608;93;11
00307.ppm;536;151;608;223;13
00308.ppm;439;189;490;240;22
00309.ppm;723;26;813;116;6
00310.ppm;590;159;642;211;3
00310.ppm;589;211;637;259;13
00311.ppm;339;23;437;121;3
00311.ppm;1053;48;1143;138;13
00312.ppm;527;4;584;61;8
00312.ppm;830;193;871;234;8
00313.ppm;476;212;516;251;5
00313.ppm;474;251;514;291;13
00314.ppm;899;15;1020;134;2
00315.ppm;488;47;580;138;13
00315.ppm;488;138;571;220;4
00316.ppm;425;262;451;288;9
00317.ppm;908;22;1030;143;20
00318.ppm;931;270;980;318;22
00319.ppm;419;112;488;181;14
00320.ppm;1127;111;1253;237;10
00321.ppm;940;97;1034;191;9
00321.ppm;948;183;1030;265;16
00322.ppm;250;103;293;146;13
00322.ppm;253;145;289;181;23
00323.ppm;891;35;962;107;10
00323.ppm;504;108;550;154;12
00323.ppm;894;130;951;187;13
00323.ppm;504;64;551;111;3
00324.ppm;1097;4;1169;76;1
00325.ppm;641;120;710;188;26
00326.ppm;497;214;532;249;0
00326.ppm;501;244;536;279;24
00327.ppm;431;130;493;191;7
00328.ppm;565;125;634;193;6
00329.ppm;531;195;581;244;14
00330.ppm;250;178;304;232;0
00330.ppm;667;156;731;220;24
00331.ppm;641;3;740;101;14
00332.ppm;1019;294;1060;336;13
00332.ppm;1020;353;1062;395;20
00333.ppm;889;168;939;218;24
00333.ppm;464;226;488;250;14
00333.ppm;890;112;944;166;0
00334.ppm;527;156;573;202;3
00334.ppm;527;200;569;242;13
00335.ppm;1009;116;1133;240;19
00335.ppm;1007;2;1132;127;17
00336.ppm;504;125;559;180;14
00337.ppm;995;210;1053;267;22
00338.ppm;871;147;934;210;13
00338.ppm;396;63;453;119;12
00338.ppm;513;160;543;190;11
00338.ppm;401;10;457;65;3
00339.ppm;992;150;1039;197;9
00340.ppm;709;153;784;227;14
00341.ppm;65;234;101;269;0
00341.ppm;575;192;614;230;13
00341.ppm;576;232;611;267;4
00342.ppm;551;222;600;271;7
00343.ppm;578;260;644;326;24
00343.ppm;191;271;244;324;0
00344.ppm;1007;180;1053;225;2
00344.ppm;1010;148;1053;191;15
00345.ppm;844;250;881;287;1
00346.ppm;917;40;995;118;17
00346.ppm;914;114;999;199;19
00347.ppm;1110;206;1161;257;13
00348.ppm;925;80;1007;163;10
00349.ppm;533;185;580;232;11
00349.ppm;819;253;855;289;10
00350.ppm;830;155;900;224;26
00351.ppm;429;17;508;95;27
00351.ppm;558;19;640;101;27
00352.ppm;830;32;927;128;26
00353.ppm;643;60;715;132;22
00354.ppm;630;190;657;217;11
00354.ppm;563;155;605;198;12
00354.ppm;561;112;604;155;3
00355.ppm;830;190;867;227;16
00356.ppm;570;195;603;227;3
00356.ppm;570;229;601;260;13
00357.ppm;1095;110;1171;186;8
00358.ppm;511;271;557;316;13
00359.ppm;962;162;1031;231;6
00359.ppm;859;205;893;239;19
00359.ppm;859;231;890;262;15
00360.ppm;889;246;929;286;4
00360.ppm;892;324;924;356;13
00360.ppm;807;347;833;373;10
00360.ppm;610;279;635;305;3
00360.ppm;611;305;635;329;12
00361.ppm;1036;7;1129;101;13
00361.ppm;584;129;617;162;13
00361.ppm;469;30;525;86;12
00361.ppm;583;74;617;108;11
00362.ppm;556;13;687;143;7
00363.ppm;500;152;571;222;6
00364.ppm;468;185;514;231;14
00364.ppm;467;229;509;271;3
00365.ppm;869;120;984;234;25
00366.ppm;1063;98;1164;199;6
00367.ppm;868;157;934;222;6
00368.ppm;924;226;965;267;22
00369.ppm;753;36;876;158;6
00370.ppm;611;248;655;291;7
00371.ppm;424;191;480;246;24
00371.ppm;371;198;427;253;0
00372.ppm;531;228;570;267;14
00373.ppm;1099;11;1193;105;16
00373.ppm;484;209;512;237;3
00373.ppm;483;178;513;209;13
00374.ppm;787;3;918;132;20
00375.ppm;709;107;879;275;7
00376.ppm;382;266;420;304;0
00376.ppm;414;277;454;317;24
00377.ppm;354;16;449;111;13
00378.ppm;437;150;503;216;13
00378.ppm;435;75;504;144;3
00379.ppm;502;115;570;183;8
00380.ppm;804;89;879;164;26
00380.ppm;799;13;879;92;14
00380.ppm;417;195;458;236;13
00381.ppm;473;37;532;95;11
00381.ppm;477;146;533;203;13
00382.ppm;887;251;927;291;0
00382.ppm;914;248;951;285;24
00383.ppm;225;71;311;157;0
00383.ppm;220;151;304;235;24
00384.ppm;1099;98;1182;181;23
00385.ppm;529;362;585;417;7
00386.ppm;490;153;525;188;14
00387.ppm;1114;311;1143;340;0
00387.ppm;1112;336;1140;364;24
00388.ppm;793;13;918;137;6
00388.ppm;577;59;640;122;7
00389.ppm;1060;70;1151;161;13
00390.ppm;444;114;509;179;13
00391.ppm;974;198;1017;241;16
00392.ppm;1034;81;1088;135;1
00393.ppm;637;3;765;130;13
00393.ppm;635;195;759;318;20
00394.ppm;1080;94;1191;205;6
00394.ppm;1077;198;1179;300;18
00395.ppm;473;225;513;265;7
00396.ppm;413;248;464;299;5
00396.ppm;410;298;462;349;13
00396.ppm;327;269;365;306;23
00397.ppm;929;239;975;285;7
00398.ppm;529;138;579;187;1
00399.ppm;401;143;447;188;13
00399.ppm;1185;13;1270;97;0
00400.ppm;642;36;747;140;23
00401.ppm;80;257;160;337;0
00401.ppm;144;250;219;325;24
00402.ppm;299;51;378;131;0
00402.ppm;300;125;376;201;24
00403.ppm;240;294;271;325;6
00404.ppm;988;56;1089;157;14
00405.ppm;579;113;627;161;3
00405.ppm;644;200;671;227;11
00405.ppm;580;160;627;207;12
00405.ppm;645;250;675;279;13
00406.ppm;1107;30;1194;117;9
00407.ppm;811;170;871;230;1
00408.ppm;939;161;997;219;16
00409.ppm;1229;152;1279;202;0
00410.ppm;881;271;917;306;7
00411.ppm;893;187;930;224;14
00412.ppm;543;52;628;136;14
00413.ppm;973;253;1009;289;16
00413.ppm;969;291;1004;326;23
00414.ppm;322;21;374;73;3
00415.ppm;893;175;925;207;16
00416.ppm;88;173;134;218;14
00417.ppm;510;110;588;188;3
00417.ppm;507;190;584;267;13
00418.ppm;587;79;753;244;14
00418.ppm;384;322;482;420;26
00419.ppm;893;179;931;217;23
00420.ppm;965;229;1017;280;13
00420.ppm;918;300;954;336;20
00421.ppm;567;178;623;234;13
00421.ppm;570;231;622;283;4
00422.ppm;580;124;648;191;22
00423.ppm;651;68;755;171;22
